사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Aug-21,6호선,468,창신,7,0,"2,359",292,"4,535","1,629","11,448","4,087","13,731","4,832","7,605","2,864","4,618","2,122","3,625","2,023","3,735","2,486","3,457","2,553","3,253","2,509","3,136","3,411","4,522","3,845","3,635","4,969","4,101","8,649","2,552","6,757","1,907","4,010","1,424","4,202",923,"3,627",238,"1,328",0,25,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,6호선,469,보문,16,0,"3,134",737,"6,126","2,977","16,399","6,772","23,380","15,346","12,924","8,211","8,207","5,585","7,887","5,050","8,480","5,961","8,275","6,102","7,551","5,580","8,027","6,914","8,973","7,859","10,559","11,495","13,995","19,560","6,790","14,794","4,981","9,484","4,792","9,193","3,371","8,646","1,313","3,735",1,86,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,6호선,470,안암(고대병원앞),8,0,"1,102","1,112","2,659","4,988","6,852","14,157","9,326","28,468","8,412","25,036","9,405","14,305","10,991","10,648","11,638","12,126","11,243","13,703","12,735","11,436","15,230","9,722","19,237","9,666","30,629","11,268","24,991","14,742","12,361","11,313","10,062","7,240","10,925","8,045","8,477","7,464","3,093","3,255",1,250,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,6호선,471,고려대(종암),28,1,"3,656",757,"6,784","3,385","16,930","8,321","21,381","19,324","12,182","9,224","7,968","5,743","7,864","6,228","8,585","5,986","8,591","7,016","7,903","6,805","8,678","7,588","11,259","9,015","15,404","11,412","15,167","19,559","7,369","15,956","5,173","9,725","5,157","9,831","4,107","8,376","1,107","4,082",0,104,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,6호선,472,월곡(동덕여대),24,0,"6,165",802,"11,417","3,521","31,969","5,874","36,608","20,776","19,892","13,607","13,782","9,650","12,822","9,518","13,015","10,422","12,572","11,093","11,615","10,938","12,012","13,635","12,926","16,974","14,247","21,325","20,026","35,196","10,204","28,410","7,215","15,391","6,127","14,693","3,924","11,499","1,410","4,989",1,61,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,6호선,473,상월곡(한국과학기술연구원),6,0,"4,695",458,"7,407","1,438","20,486","2,997","24,417","10,554","12,639","5,380","8,364","4,079","7,148","4,171","7,421","5,011","6,931","4,940","6,069","5,433","5,951","6,671","6,444","7,947","6,484","11,165","8,050","17,331","5,079","15,026","2,528","8,865","2,059","8,381","1,553","7,335",843,"3,200",1,74,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,6호선,474,돌곶이,35,1,"5,793",655,"12,605","2,914","30,155","5,260","33,673","12,913","17,610","8,365","11,650","6,900","9,915","7,003","10,492","7,979","10,405","8,223","9,861","8,365","9,058","10,028","9,459","12,263","10,359","17,049","10,950","28,008","7,180","23,633","4,273","13,941","3,992","11,209","2,741","10,381",804,"4,329",0,361,0,1,0,0,0,0,2021-09-03 10:03
Aug-21,6호선,475,석계,827,7,"7,930","1,686","17,560","4,202","40,397","6,474","45,174","10,598","24,615","9,006","17,193","8,357","14,671","9,648","14,628","11,060","14,005","11,670","12,829","12,071","11,655","16,306","12,082","20,215","12,278","25,530","11,336","46,077","8,328","38,685","6,415","20,315","5,959","18,121","4,316","15,616","1,226","6,754",15,613,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,6호선,476,태릉입구,2,1,"3,993",788,"6,003","2,676","15,867","3,149","17,925","6,627","9,755","5,818","6,773","4,708","6,428","5,101","6,747","5,500","6,572","6,225","6,074","5,968","5,926","6,983","6,087","8,972","7,088","11,700","7,457","20,485","4,466","17,233","3,633","8,216","3,356","8,531","2,605","7,101",877,"3,710",5,488,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,6호선,477,화랑대(서울여대입구),20,2,"5,155",792,"18,263","3,012","50,788","5,379","44,727","9,619","21,076","5,713","13,248","5,082","11,956","5,754","12,321","6,574","11,020","7,225","9,400","7,232","9,792","9,536","10,488","11,596","11,084","17,672","9,883","32,192","5,333","29,353","3,672","15,779","3,093","12,921","2,361","11,474",692,"5,120",0,417,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,6호선,478,봉화산(서울의료원),40,0,"4,276",967,"13,078","2,596","40,543","5,188","32,109","10,896","15,516","6,212","11,565","5,408","9,900","5,526","10,236","7,318","9,287","7,902","8,313","7,951","7,739","9,679","8,055","11,031","9,484","16,635","8,784","27,588","4,251","25,708","3,284","14,303","2,712","11,486","1,879","10,446",485,"4,145",16,389,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,6호선,479,신내,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,480,장암,1,1,"1,395",147,"5,520","1,597","12,680","1,206","8,563","1,748","3,101","2,116","1,712","2,280","1,568","1,860","1,823","1,862","2,001","1,276","2,163","1,440","2,653","1,140","2,879","1,011","3,306","1,508","2,796","2,311","1,574","2,901",909,"1,206",710,765,198,378,87,333,2,39,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,481,도봉산,47,1,"4,543",862,"15,942","5,158","44,124","7,077","35,041","10,734","17,703","12,063","10,117","12,855","9,358","10,806","9,774","10,401","9,025","9,917","8,988","9,679","9,313","11,210","10,028","13,695","9,890","18,584","9,328","32,184","4,720","36,037","3,213","20,311","2,290","16,638","1,589","14,951",422,"6,509",21,931,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,482,수락산,38,1,"8,285",807,"18,421","5,309","45,503","8,022","41,533","16,432","24,745","15,464","17,456","15,199","15,743","14,161","16,906","14,273","16,811","13,206","16,085","12,947","15,882","15,641","16,552","18,715","17,172","23,275","17,568","38,051","10,591","39,243","6,826","21,880","5,340","18,205","3,032","15,456",852,"7,119",10,"1,144",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,483,마들,15,0,"8,705","1,144","21,615","2,772","53,121","6,603","49,672","9,712","25,011","9,008","17,625","8,940","16,300","9,670","16,474","10,477","14,195","11,466","13,016","12,473","12,599","14,321","11,498","17,531","10,257","23,500","10,036","41,276","6,118","42,474","5,198","22,192","3,636","18,658","2,923","15,667",737,"7,406",6,"1,097",1,1,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,484,노원,43,0,"6,189","1,923","12,519","5,734","32,109","16,608","32,240","39,780","24,001","39,113","23,726","29,462","25,975","26,753","27,866","28,097","27,554","30,974","28,969","31,867","30,685","31,536","33,551","32,527","34,658","36,392","40,665","49,537","24,573","40,085","25,126","18,722","20,080","14,553","17,116","12,465","2,184","6,148",24,"1,033",1,1,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,485,중계,22,0,"8,269","1,864","21,035","4,202","51,678","10,885","52,660","18,049","28,676","10,340","19,379","8,437","17,170","8,546","17,011","11,057","15,367","11,692","12,957","11,983","13,433","13,813","15,064","16,619","13,885","22,915","14,098","40,345","7,385","39,988","5,285","22,270","5,128","19,130","4,010","16,267","1,086","6,933",12,"1,225",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,486,하계,17,1,"7,460",978,"21,134","5,661","56,457","13,285","60,354","20,595","32,807","16,569","23,384","12,657","21,729","12,795","22,735","16,006","20,318","18,048","19,312","17,797","20,609","19,447","21,279","22,393","21,777","29,647","19,360","51,337","11,036","47,793","8,235","25,957","8,612","23,767","6,876","19,429","1,372","9,130",12,"1,083",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,487,공릉(서울과학기술대),19,0,"5,634",825,"12,549","3,599","30,750","9,168","35,841","17,714","20,661","11,734","13,895","9,692","13,346","10,139","13,928","11,505","13,728","12,585","13,452","12,262","14,689","14,569","14,569","17,040","15,563","21,118","18,495","34,679","9,602","31,100","8,201","16,451","7,234","15,143","5,372","13,698","1,359","6,460",17,550,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,488,태릉입구,124,1,"6,259","1,166","6,900","4,672","18,349","7,113","22,075","15,391","14,379","9,097","10,749","7,265","9,683","7,416","10,359","7,967","9,803","8,543","9,883","8,312","10,442","9,695","11,364","11,239","14,176","14,054","15,415","21,297","8,813","18,002","6,398","11,258","6,430","10,033","4,150","9,000","1,239","3,682",20,"1,128",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,489,먹골,11,0,"7,047",600,"11,842","3,378","30,840","4,699","37,785","13,074","22,824","8,508","13,366","7,807","12,310","8,520","13,027","9,330","12,444","9,815","10,858","10,501","10,702","13,056","11,021","15,962","11,841","20,943","13,582","33,667","8,241","29,950","5,539","16,604","4,671","14,697","3,300","12,095",921,"5,017",11,557,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,490,중화,10,0,"8,004",880,"13,582","3,996","32,659","7,123","41,376","19,593","23,012","10,407","14,433","8,350","12,924","8,656","13,621","9,451","12,542","9,659","11,341","10,758","10,955","13,785","11,669","15,761","13,934","21,516","15,894","34,722","9,137","29,929","5,773","17,407","5,789","15,796","3,855","13,216",907,"5,114",8,578,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,491,상봉(시외버스터미널),308,4,"9,286","1,508","17,631","6,611","44,555","12,032","61,540","28,328","31,382","17,286","18,609","12,992","17,427","14,031","18,415","15,218","18,091","16,702","17,090","15,995","17,625","18,133","20,461","22,366","25,130","29,628","28,210","51,780","18,286","44,958","13,848","24,416","13,166","20,716","8,257","18,041","2,039","7,013",46,"1,074",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,492,면목,23,0,"11,888",812,"20,927","5,209","49,753","8,167","63,302","21,011","34,564","12,983","20,607","12,126","17,654","12,117","18,366","13,219","17,201","14,159","15,232","15,340","14,502","20,168","15,905","25,602","16,851","31,130","17,220","49,933","13,704","45,502","7,596","24,948","6,304","22,552","4,060","20,081","1,136","7,604",11,829,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,493,사가정,11,0,"10,660","1,305","20,774","6,572","46,826","10,710","61,080","23,151","35,445","15,067","22,956","13,822","19,225","13,971","20,463","15,273","19,091","15,974","17,075","17,461","17,214","21,998","17,980","25,404","20,151","33,481","21,038","56,349","14,758","46,419","10,112","25,459","9,015","22,362","6,402","18,035","1,743","7,273",27,572,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,494,용마산(용마폭포공원),8,1,"4,591",513,"9,476","2,181","20,068","3,493","25,670","8,824","14,667","5,403","8,349","4,494","7,068","4,608","7,061","5,252","6,300","5,467","5,738","5,574","5,893","7,375","5,773","8,677","5,792","11,938","6,694","19,968","4,383","18,281","2,510","10,354","2,143","10,062","1,444","8,141",526,"3,264",6,217,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,495,중곡,1,0,"5,281",566,"11,054","3,927","26,512","8,196","38,440","17,643","23,337","9,125","13,865","7,684","11,983","7,517","11,706","8,699","11,205","9,361","10,616","9,707","10,877","11,633","11,842","13,525","13,447","18,153","11,721","29,295","8,629","24,636","5,249","13,979","4,397","13,073","3,267","11,767",675,"4,419",9,262,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,496,군자(능동),34,0,"8,058","1,066","12,950","5,438","29,369","8,492","48,561","25,231","32,210","15,538","17,423","10,630","14,967","9,810","15,587","10,610","15,656","11,053","14,997","12,009","14,953","14,641","16,629","16,290","21,044","22,705","28,786","37,656","16,705","30,022","12,769","16,338","12,678","15,926","8,945","12,703","1,998","5,338",12,578,0,5,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,497,어린이대공원(세종대),6,1,"2,933","1,037","6,471","9,348","15,476","13,315","26,251","35,733","19,743","22,786","10,887","13,792","10,088","11,565","11,549","12,427","11,928","13,991","12,358","13,135","15,229","12,708","20,186","12,775","27,776","16,762","34,207","23,975","17,278","19,530","11,474","12,146","12,023","11,575","9,615","10,660","2,592","5,030",7,399,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,498,건대입구,25,1,"3,048",787,"3,740","6,456","10,443","16,069","15,748","28,876","13,282","23,201","11,054","17,065","12,484","15,242","12,722","17,898","13,641","19,400","15,717","17,253","18,880","16,678","22,276","16,807","31,405","19,655","28,902","28,428","19,782","18,805","21,807","9,812","18,336","9,043","13,165","7,227","3,053","3,004",2,920,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,499,뚝섬유원지,4,0,"4,904",412,"8,384","3,965","17,845","5,793","25,230","11,207","16,537","8,028","8,781","6,465","7,461","6,663","8,175","7,565","7,972","8,280","7,777","9,558","8,492","11,176","9,954","12,978","11,957","18,201","13,315","27,707","10,946","21,041","11,871","13,521","12,847","12,324","11,209","9,055","3,965","3,132",19,234,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,500,청담,8,1,"1,990","3,361","5,202","23,913","8,329","51,273","10,869","116,747","9,618","82,532","9,239","29,476","11,651","17,545","12,711","16,288","14,387","18,576","17,728","15,119","25,481","13,179","31,654","12,004","54,372","13,436","92,003","14,654","47,488","10,293","25,904","6,627","24,612","6,430","15,771","3,971","2,792","1,714",8,700,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,501,강남구청,6,0,"1,354","1,816","3,307","12,167","5,738","27,891","7,730","89,074","7,469","84,227","7,761","33,547","9,561","19,965","11,036","17,243","12,661","18,147","16,057","13,816","21,122","12,876","24,490","12,652","39,599","12,970","74,825","14,939","45,395","9,419","27,939","6,145","28,135","5,038","17,158","3,497","2,785","1,895",9,321,1,1,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,502,학동,1,0,"1,602","2,639","4,038","23,054","7,132","52,259","9,608","154,724","9,295","111,299","9,494","38,178","11,053","20,003","13,446","16,469","15,290","18,491","19,697","16,358","25,199","13,997","32,545","13,079","65,878","13,321","140,589","15,280","64,179","9,876","31,584","6,125","30,042","5,973","19,417","4,006","3,622","2,090",12,179,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,503,논현,2,1,"1,754","1,255","4,147","16,675","7,840","39,385","12,924","102,648","11,012","88,918","10,050","35,086","11,976","21,410","14,284","19,441","15,274","22,424","18,667","20,299","23,143","17,753","29,061","17,697","50,652","19,947","94,135","25,206","51,847","14,813","32,810","8,201","33,785","7,141","24,838","5,756","4,714","2,843",23,417,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,504,반포,7,0,655,498,"2,257","5,684","5,514","10,164","8,670","17,310","6,313","15,110","4,266","7,430","4,868","7,587","6,379","7,605","6,748","7,383","7,003","6,710","8,596","6,183","11,854","6,135","13,220","6,836","15,138","9,375","10,351","5,851","8,093","3,653","8,978","3,020","6,636","2,683","1,039",945,13,123,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,505,고속터미널,10,19,987,"2,480","2,622","22,333","8,830","33,976","13,737","43,856","15,901","30,624","16,196","19,835","17,695","17,332","18,113","17,438","19,162","19,631","20,375","17,356","28,196","13,419","31,236","12,857","48,237","12,858","43,468","15,291","25,152","10,279","25,837","6,363","21,594","6,591","16,686","3,336","3,709","1,224",8,111,0,0,0,1,0,0,2021-09-03 10:03
Aug-21,7호선,506,내방,9,0,"2,133","1,331","6,228","9,310","14,445","21,998","21,818","72,882","16,092","38,950","12,139","16,935","12,228","13,346","13,408","13,067","14,765","14,520","15,062","13,027","16,257","12,989","19,401","13,627","34,095","17,908","64,122","24,654","22,706","16,975","14,594","9,774","14,705","8,765","10,077","7,519","1,711","2,821",19,700,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,507,이수,46,0,"4,202",796,"7,814","8,627","21,824","13,257","34,193","36,898","22,814","25,611","15,999","17,601","16,189","15,999","17,402","16,324","18,315","18,471","18,390","18,012","19,789","18,924","21,997","21,984","27,562","27,220","38,852","41,873","21,486","28,970","19,822","15,315","20,288","13,199","13,138","10,615","2,372","4,534",54,603,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,508,남성,8,1,"4,861",652,"11,481","3,278","31,079","5,759","45,571","12,654","27,115","9,674","15,606","8,792","13,106","8,796","13,056","9,774","13,114","10,491","11,513","11,150","11,032","13,067","11,330","15,356","11,880","21,017","12,934","37,044","7,050","27,139","6,521","16,015","6,416","14,370","3,919","12,322","1,098","5,098",16,432,0,1,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,509,숭실대입구(살피재),3,0,"5,252",750,"10,641","3,384","30,567","6,926","41,214","13,230","23,752","14,787","14,322","9,345","12,586","9,608","13,148","10,593","13,504","11,640","11,897","11,650","11,485","13,912","14,062","17,190","16,900","23,778","14,994","39,796","8,657","30,213","7,076","18,350","7,030","16,105","5,521","14,811","1,556","6,009",10,622,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,510,상도,0,0,"4,563","1,071","9,638","3,985","27,182","7,106","36,529","14,930","22,669","11,627","13,445","9,113","12,241","8,580","12,697","9,239","12,118","10,001","11,912","10,132","11,164","11,837","13,135","14,729","13,965","19,911","14,706","33,359","8,265","25,381","6,804","15,130","5,552","13,769","5,751","11,929","1,328","4,705",17,408,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,511,장승배기,19,0,"6,412",893,"10,371","3,517","23,323","6,924","34,903","16,254","21,401","10,390","12,908","8,720","11,411","9,239","11,877","9,234","11,798","9,667","11,077","10,403","10,178","11,983","10,569","13,891","11,554","18,000","13,916","29,808","7,380","21,692","5,736","13,123","5,488","12,545","4,002","9,833","1,003","4,374",30,383,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,512,신대방삼거리,36,0,"9,575",857,"16,364","6,357","43,876","11,406","64,463","26,912","36,854","17,589","20,978","12,737","18,562","11,813","19,475","13,295","17,506","14,885","16,375","15,342","16,548","18,047","18,110","21,746","19,525","30,431","25,344","54,101","13,352","42,228","10,257","24,558","8,256","21,944","6,091","18,366","1,761","7,763",18,756,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,513,보라매,34,0,"5,470","1,091","7,294","5,595","18,748","14,070","27,065","34,833","16,202","11,521","9,878","7,816","10,108","7,407","10,151","8,872","10,183","8,862","9,788","8,060","12,015","9,266","12,501","10,613","15,976","15,311","28,796","25,410","9,753","19,495","7,262","11,213","6,519","10,107","4,261","8,369",950,"3,376",18,472,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,514,신풍,58,1,"9,515","1,168","14,630","4,618","35,482","10,425","44,180","17,553","25,329","9,751","14,437","8,683","12,389","9,127","13,085","10,068","12,794","10,765","11,677","10,549","11,946","13,190","12,768","16,132","14,414","23,504","16,426","37,480","9,278","28,042","6,258","15,931","5,157","16,630","3,488","12,551",903,"4,790",21,867,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,515,대림(구로구청),31,0,"10,804",828,"7,913","2,955","13,367","6,248","18,406","16,775","14,372","12,104","9,925","12,299","10,128","12,550","11,427","11,304","11,437","11,616","12,107","11,764","12,821","12,888","13,016","13,183","14,903","18,165","16,844","19,491","10,070","12,221","7,240","8,693","6,015","10,831","3,669","7,381","1,146","2,781",13,302,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,516,남구로,84,0,"16,826","1,715","14,093","6,646","26,811","29,353","30,209","84,991","19,746","41,929","12,878","15,704","11,493","13,057","12,687","12,303","12,802","12,820","12,344","12,445","13,926","14,712","17,037","18,339","37,195","27,382","66,673","28,393","29,761","19,819","15,965","13,583","10,791","14,899","6,183","11,791","1,742","4,464",17,349,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,517,가산디지털단지,481,4,"6,154","5,696","8,302","23,409","18,887","105,948","20,630","336,272","14,903","188,412","14,902","49,687","19,114","29,631","23,327","28,176","27,096","27,024","31,610","24,686","38,573","21,812","55,539","20,905","165,968","22,985","283,125","26,988","117,957","19,932","60,862","10,932","48,840","9,648","21,087","7,933","4,993","3,441",63,473,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,518,철산,6,0,"9,534","4,103","23,834","9,573","65,773","13,931","72,336","28,377","36,839","23,487","24,634","18,736","22,813","17,902","23,318","20,093","22,459","21,713","20,868","21,880","21,906","24,220","24,475","28,752","28,666","46,068","29,923","79,933","17,780","61,909","16,188","28,378","16,301","26,368","11,210","21,204","2,107","8,490",20,"1,051",0,1,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,519,광명사거리,177,1,"19,770","5,454","29,214","10,527","70,101","14,574","80,410","24,003","42,869","20,966","27,984","20,497","25,997","22,167","27,268","22,515","26,541","24,272","24,089","24,764","24,141","31,308","27,130","36,259","29,234","47,260","28,034","76,557","18,321","58,241","13,610","32,328","11,073","26,912","6,881","21,180","1,763","9,041",12,"1,115",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,520,천왕,21,0,"6,626","1,128","14,753","4,266","41,204","6,757","51,148","11,131","26,203","7,008","13,566","5,877","11,043","6,962","12,055","8,613","11,308","8,574","9,633","8,803","9,510","11,663","10,724","15,020","10,949","21,818","11,436","42,580","5,814","34,091","4,163","18,163","3,305","15,376","2,451","12,428",656,"4,952",8,484,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,521,온수(성공회대입구),109,0,"6,915",912,"14,172","3,400","41,530","6,977","48,935","11,432","21,141","6,370","11,112","5,365","9,421","5,420","9,586","6,337","8,848","6,566","7,587","7,500","7,848","9,410","10,211","11,508","10,344","18,787","9,777","37,796","5,338","28,414","3,457","15,824","3,178","14,004","2,236","11,937",612,"5,128",6,"1,628",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,522,까치울,3,1,"3,871",910,"9,536","3,810","27,911","5,422","33,120","8,040","16,328","5,076","8,753","4,312","7,982","6,330","8,678","7,215","8,868","6,582","7,880","7,237","7,927","7,469","8,248","10,758","9,287","16,332","9,007","28,892","5,294","22,868","4,398","12,382","3,223","11,383","2,180","10,358",547,"4,026",2,216,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,523,부천종합운동장,27,0,"2,996",952,"5,455","3,545","14,314","5,610","15,954","10,508","9,035","5,310","6,522","3,923","6,489","3,739","5,479","3,030","4,751","3,598","4,936","4,252","4,962","4,598","5,636","4,703","7,137","6,697","8,491","12,032","3,529","9,749","2,269","5,179","2,044","4,996","1,249","4,234",334,"2,040",4,191,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,524,춘의,16,0,"5,172","1,489","9,559","5,668","20,786","26,253","21,503","46,478","11,890","14,651","8,117","7,170","7,609","6,209","8,168","6,081","7,789","7,342","7,556","6,056","8,484","6,830","10,052","8,126","24,258","11,675","36,793","17,693","13,913","16,713","9,427","10,382","7,152","9,069","3,470","7,546",824,"3,248",9,278,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,525,신중동,8,1,"4,984","1,735","14,603","5,492","37,229","14,389","36,075","38,829","18,802","23,287","13,715","13,288","13,877","13,094","14,433","11,929","14,149","15,247","14,686","12,562","15,112","15,091","17,820","17,443","22,452","21,679","38,328","37,944","15,914","35,387","16,244","17,176","10,768","14,239","7,549","12,071","1,657","5,649",15,672,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,526,부천시청,16,0,"5,124","2,423","14,554","6,681","36,847","12,910","34,878","22,761","17,068","18,853","12,374","11,286","13,279","12,183","14,192","13,388","12,756","15,936","13,629","13,851","14,791","16,116","17,548","15,386","21,074","21,295","24,011","40,256","14,112","34,417","15,234","16,417","13,089","12,915","8,845","10,534","1,337","5,467",42,561,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,527,상동,6,0,"3,693","1,776","13,421","4,903","33,143","10,597","29,979","25,013","14,880","25,629","11,751","13,493","12,647","14,831","14,544","15,441","14,088","17,747","14,092","15,699","15,534","16,346","17,891","16,190","20,892","22,976","26,943","41,120","16,525","31,521","13,972","16,077","17,005","12,220","13,229","9,763","2,317","5,956",97,636,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,528,삼산체육관,19,0,"3,412",441,"9,463","1,684","21,723","2,792","19,556","5,053","10,023","3,575","6,644","3,263","6,238","3,179","5,937","4,583","5,537","4,386","5,256","4,958","5,040","4,691","5,606","6,306","4,935","8,721","4,683","18,422","2,828","14,769","1,958","9,296","1,684","7,299","1,281","5,968",471,"3,611",19,381,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,529,굴포천,4,1,"5,997",485,"12,921","3,232","30,892","4,200","32,719","12,093","16,201","9,386","10,559","7,307","9,786","6,839","10,290","8,996","9,536","8,651","8,975","10,122","8,934","9,773","10,068","12,928","11,022","19,626","12,547","34,688","7,310","29,668","5,832","17,511","5,797","13,963","4,310","10,409","1,059","5,629",33,768,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,7호선,530,부평구청,34,1,"5,139",429,"13,460","2,985","30,562","5,655","25,334","9,956","13,276","4,430","8,649","4,369","7,985","4,836","8,121","4,889","7,878","5,573","6,743","6,214","6,990","6,287","6,968","8,289","9,628","11,670","10,236","20,388","5,242","23,094","3,953","13,079","3,408","10,584","2,538","9,405",801,"4,019",13,"1,256",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,8호선,531,암사,44,0,"13,595",943,"23,822","5,929","65,888","8,331","85,368","18,363","41,897","13,308","23,943","11,296","20,988","13,193","22,029","15,517","20,760","14,935","17,371","16,725","16,694","22,204","17,089","25,146","17,857","36,342","19,693","65,374","11,012","48,994","8,532","26,629","6,798","26,570","4,459","19,234","1,201","8,061",1,975,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,8호선,532,천호(풍납토성),68,0,"10,661","1,646","14,844","9,151","34,381","12,453","46,040","23,410","27,006","20,518","16,208","16,131","15,401","16,132","16,694","18,603","17,401","20,277","16,662","19,086","17,386","24,514","18,964","27,417","22,995","34,881","25,051","56,217","16,692","39,362","15,378","20,931","11,784","18,942","7,326","14,390","1,432","6,611",5,889,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,8호선,533,강동구청,19,0,"4,754","1,075","9,399","4,799","25,928","12,653","33,360","30,030","19,112","12,680","11,919","9,103","11,083","9,176","11,398","8,480","11,093","10,834","10,877","10,456","10,756","10,790","11,996","14,126","15,154","19,484","24,034","30,988","9,407","22,766","5,911","13,064","5,516","11,896","3,371","10,827",708,"2,979",2,332,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,8호선,534,몽촌토성(평화의문),0,0,"1,421","1,052","3,301","5,175","9,445","7,384","13,628","20,267","8,255","11,803","5,822","6,763","5,521","5,782","6,009","5,871","6,403","6,088","6,307","5,956","7,179","6,250","9,030","6,795","13,098","8,875","18,404","14,276","8,240","10,091","5,867","5,814","5,670","5,191","4,370","4,666","1,232","1,528",0,112,0,0,0,0,0,0,2021-09-03 10:03
