사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Aug-21,2호선,36,사당,50,0,"10,513","3,179","22,530","23,451","58,906","34,026","83,246","52,649","58,207","39,234","38,104","33,300","35,191","37,179","40,812","39,240","39,698","40,480","38,852","39,769","40,429","46,462","44,776","55,494","56,808","80,672","79,171","119,322","46,073","79,608","40,884","49,449","42,009","47,690","28,774","40,903","5,941","14,628",1,756,0,1,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,37,낙성대(강감찬),33,1,"10,545","1,844","23,072","7,888","65,157","15,651","106,007","33,282","68,462","27,311","36,569","21,341","32,358","20,485","34,006","23,440","32,598","24,973","29,727","27,012","29,839","30,825","31,038","36,206","35,684","52,311","40,875","90,524","22,486","73,532","17,363","46,423","17,503","44,464","11,862","41,108","3,253","14,427",3,854,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,38,서울대입구(관악구청),"4,228",8,"26,357","2,197","38,068","12,559","104,693","25,638","150,090","56,193","101,046","53,816","57,012","44,454","52,661","41,783","56,338","46,040","56,788","51,518","52,478","51,832","55,446","55,156","59,965","69,012","67,898","93,312","76,260","154,764","46,893","121,426","38,875","70,955","40,283","66,924","29,761","61,513","6,170","22,130",2,"4,107",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,39,봉천,44,3,"14,691","1,442","25,702","6,157","67,841","10,349","100,844","23,320","59,880","18,123","32,474","17,998","28,006","18,249","29,088","19,551","27,837","22,344","24,097","23,430","23,301","29,831","24,545","34,637","25,417","47,489","28,855","79,530","16,268","62,832","12,780","38,119","12,388","36,924","8,458","29,537","2,063","10,882",0,84,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,40,신림,234,10,"37,299","3,265","68,898","17,600","173,383","30,834","267,128","56,459","158,053","46,598","84,264","40,165","70,112","41,587","75,252","48,408","69,669","56,439","62,118","62,828","61,087","73,964","66,875","92,767","72,880","128,276","74,469","227,563","45,967","182,832","39,377","113,584","40,159","112,778","29,976","92,790","6,404","39,177",0,15,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,41,신대방,174,1,"23,641","1,848","33,197","8,323","75,798","15,976","110,766","27,543","67,607","19,374","37,279","16,481","29,676","17,164","29,970","19,804","28,198","21,159","25,240","25,382","24,480","34,166","25,750","38,279","28,749","55,310","35,016","88,020","19,472","69,621","13,671","46,735","11,070","51,504","7,730","41,164","2,227","16,448",0,0,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,42,구로디지털단지,380,8,"36,602","5,316","46,959","19,541","113,543","75,822","153,411","217,289","94,958","121,092","53,565","49,152","49,532","40,367","53,152","41,277","53,504","47,102","49,681","45,744","51,171","54,528","59,025","63,440","108,111","91,237","192,537","143,783","90,513","107,520","51,419","67,092","42,175","69,767","25,985","57,480","5,079","21,926",2,10,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,43,대림(구로구청),522,18,"31,576","3,347","27,294","11,047","56,280","21,433","78,997","47,958","51,235","30,880","29,966","25,690","25,532","25,335","27,209","25,019","26,486","25,956","24,102","27,516","25,255","34,181","28,266","37,250","35,798","50,811","45,035","63,308","23,070","44,629","15,484","31,979","12,572","42,729","7,978","31,124","2,172","10,513",4,293,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,44,신도림,"3,355",15,"32,032","4,377","43,362","14,687","109,140","33,575","111,452","94,272","71,871","53,778","49,030","50,497","47,056","47,109","53,478","49,063","53,963","51,816","52,490","51,488","53,760","56,877","59,765","64,296","75,767","85,524","107,444","140,118","59,510","97,759","48,176","56,601","47,831","55,446","25,759","49,252","5,234","21,562",7,"3,896",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,45,문래,2,0,"3,046","2,230","11,283","9,893","33,903","30,716","37,655","105,322","22,069","47,411","15,650","18,857","15,746","16,988","17,957","18,849","18,085","19,210","18,980","18,375","20,533","18,678","25,914","21,275","48,325","27,079","89,356","45,434","30,636","31,095","20,253","16,057","21,718","14,419","11,378","11,647","2,308","4,443",1,66,0,0,0,0,0,0,2021-09-03 10:03
